지역명,연도,월,규모구분,분양가격(제곱미터)
Seoul,2015,10,5,5
Seoul,2015,11,5,5
Seoul,2015,12,5,5
Seoul,2016,1,5,5
Seoul,2016,2,5,5
Seoul,2016,3,5,5
Seoul,2016,4,5,5
Seoul,2016,5,5,5
Seoul,2016,6,5,5
Seoul,2016,7,5,5
Seoul,2016,8,5,5
Seoul,2016,9,5,5
Seoul,2016,10,5,5
Seoul,2016,11,5,5
Seoul,2016,12,5,5
Seoul,2017,1,5,5
Seoul,2017,2,5,5
Seoul,2017,3,5,5
Seoul,2017,4,5,5
Seoul,2017,5,5,5
Seoul,2017,6,5,5
Seoul,2017,7,5,5
Seoul,2017,8,5,5
Seoul,2017,9,5,5
Seoul,2017,10,5,5
Seoul,2017,11,5,5
Seoul,2017,12,5,5
Seoul,2018,1,5,5
Seoul,2018,2,5,5
Seoul,2018,3,5,5
Seoul,2018,4,5,5
Seoul,2018,5,5,5
Seoul,2018,6,5,5
Seoul,2018,7,5,5
Seoul,2018,8,5,5
Seoul,2018,9,5,5
Seoul,2018,10,5,5
Seoul,2018,11,5,5
Seoul,2018,12,5,5
Seoul,2019,1,5,5
Seoul,2019,2,5,5
Seoul,2019,3,5,5
Seoul,2019,4,5,5
Seoul,2019,5,5,5
Seoul,2019,6,5,5
Seoul,2019,7,5,5
Seoul,2019,8,5,5
Seoul,2019,9,5,5
Seoul,2019,10,5,5
Seoul,2019,11,5,5
Seoul,2019,12,5,5
Seoul,2020,1,5,5
Seoul,2020,2,5,5
Seoul,2020,3,5,5
Seoul,2020,4,5,5
Seoul,2020,5,5,5
Seoul,2020,6,5,5
Seoul,2020,7,5,5
Seoul,2020,8,5,5
Seoul,2020,9,5,5
Seoul,2020,10,5,5
Seoul,2020,11,5,5
Seoul,2020,12,5,5
Seoul,2021,1,5,5
Seoul,2021,2,5,5
Seoul,2021,3,5,5
Seoul,2021,4,5,5
Seoul,2021,5,5,5
Seoul,2021,6,5,5
Seoul,2021,7,5,4
Seoul,2021,8,5,4
Seoul,2021,9,5,4
Seoul,2021,10,5,4
Seoul,2021,11,5,4
강원,2015,10,5,5
강원,2015,11,5,5
강원,2015,12,5,5
강원,2016,1,5,5
강원,2016,2,5,4
강원,2016,3,5,4
강원,2016,4,5,4
강원,2016,5,5,4
강원,2016,6,5,4
강원,2016,7,5,4
강원,2016,8,5,4
강원,2016,9,5,4
강원,2016,10,5,5
강원,2016,11,5,5
강원,2016,12,5,5
강원,2017,1,5,5
강원,2017,2,5,5
강원,2017,3,5,5
강원,2017,4,5,5
강원,2017,5,5,5
강원,2017,6,5,5
강원,2017,7,5,5
강원,2017,8,5,5
강원,2017,9,5,5
강원,2017,10,5,5
강원,2017,11,5,5
강원,2017,12,5,5
강원,2018,1,5,5
강원,2018,2,5,5
강원,2018,3,5,5
강원,2018,4,5,5
강원,2018,5,5,5
강원,2018,6,5,5
강원,2018,7,5,5
강원,2018,8,5,5
강원,2018,9,5,5
강원,2018,10,5,5
강원,2018,11,5,5
강원,2018,12,5,5
강원,2019,1,5,5
강원,2019,2,5,5
강원,2019,3,5,5
강원,2019,4,5,5
강원,2019,5,5,5
강원,2019,6,5,5
강원,2019,7,5,5
강원,2019,8,5,5
강원,2019,9,5,5
강원,2019,10,5,5
강원,2019,11,5,5
강원,2019,12,5,5
강원,2020,1,5,5
강원,2020,2,5,5
강원,2020,3,5,4
강원,2020,4,5,4
강원,2020,5,5,4
강원,2020,6,5,4
강원,2020,7,5,5
강원,2020,8,5,5
강원,2020,9,5,5
강원,2020,10,5,5
강원,2020,11,5,5
강원,2020,12,5,5
강원,2021,1,5,5
강원,2021,2,5,5
강원,2021,3,5,5
강원,2021,4,5,5
강원,2021,5,5,5
강원,2021,6,5,5
강원,2021,7,5,5
강원,2021,8,5,5
강원,2021,9,5,5
강원,2021,10,5,5
강원,2021,11,5,5
경기,2015,10,5,5
경기,2015,11,5,5
경기,2015,12,5,5
경기,2016,1,5,5
경기,2016,2,5,5
경기,2016,3,5,5
경기,2016,4,5,5
경기,2016,5,5,5
경기,2016,6,5,5
경기,2016,7,5,5
경기,2016,8,5,5
경기,2016,9,5,5
경기,2016,10,5,5
경기,2016,11,5,5
경기,2016,12,5,5
경기,2017,1,5,5
경기,2017,2,5,5
경기,2017,3,5,5
경기,2017,4,5,5
경기,2017,5,5,5
경기,2017,6,5,5
경기,2017,7,5,5
경기,2017,8,5,5
경기,2017,9,5,5
경기,2017,10,5,5
경기,2017,11,5,5
경기,2017,12,5,5
경기,2018,1,5,5
경기,2018,2,5,5
경기,2018,3,5,5
경기,2018,4,5,5
경기,2018,5,5,5
경기,2018,6,5,5
경기,2018,7,5,5
경기,2018,8,5,5
경기,2018,9,5,5
경기,2018,10,5,5
경기,2018,11,5,5
경기,2018,12,5,5
경기,2019,1,5,5
경기,2019,2,5,5
경기,2019,3,5,5
경기,2019,4,5,5
경기,2019,5,5,5
경기,2019,6,5,5
경기,2019,7,5,5
경기,2019,8,5,5
경기,2019,9,5,5
경기,2019,10,5,5
경기,2019,11,5,5
경기,2019,12,5,5
경기,2020,1,5,5
경기,2020,2,5,5
경기,2020,3,5,5
경기,2020,4,5,5
경기,2020,5,5,5
경기,2020,6,5,5
경기,2020,7,5,5
경기,2020,8,5,5
경기,2020,9,5,5
경기,2020,10,5,5
경기,2020,11,5,5
경기,2020,12,5,5
경기,2021,1,5,5
경기,2021,2,5,5
경기,2021,3,5,5
경기,2021,4,5,5
경기,2021,5,5,5
경기,2021,6,5,5
경기,2021,7,5,5
경기,2021,8,5,5
경기,2021,9,5,5
경기,2021,10,5,5
경기,2021,11,5,5
경남,2015,10,5,5
경남,2015,11,5,5
경남,2015,12,5,5
경남,2016,1,5,5
경남,2016,2,5,5
경남,2016,3,5,5
경남,2016,4,5,5
경남,2016,5,5,5
경남,2016,6,5,5
경남,2016,7,5,5
경남,2016,8,5,5
경남,2016,9,5,5
경남,2016,10,5,5
경남,2016,11,5,5
경남,2016,12,5,5
경남,2017,1,5,5
경남,2017,2,5,5
경남,2017,3,5,5
경남,2017,4,5,5
경남,2017,5,5,5
경남,2017,6,5,5
경남,2017,7,5,5
경남,2017,8,5,5
경남,2017,9,5,5
경남,2017,10,5,5
경남,2017,11,5,5
경남,2017,12,5,5
경남,2018,1,5,5
경남,2018,2,5,5
경남,2018,3,5,5
경남,2018,4,5,5
경남,2018,5,5,5
경남,2018,6,5,5
경남,2018,7,5,5
경남,2018,8,5,5
경남,2018,9,5,5
경남,2018,10,5,5
경남,2018,11,5,5
경남,2018,12,5,5
경남,2019,1,5,5
경남,2019,2,5,5
경남,2019,3,5,5
경남,2019,4,5,5
경남,2019,5,5,5
경남,2019,6,5,5
경남,2019,7,5,5
경남,2019,8,5,5
경남,2019,9,5,4
경남,2019,10,5,4
경남,2019,11,5,5
경남,2019,12,5,4
경남,2020,1,5,4
경남,2020,2,5,4
경남,2020,3,5,4
경남,2020,4,5,4
경남,2020,5,5,4
경남,2020,6,5,4
경남,2020,7,5,5
경남,2020,8,5,5
경남,2020,9,5,5
경남,2020,10,5,5
경남,2020,11,5,5
경남,2020,12,5,5
경남,2021,1,5,5
경남,2021,2,5,5
경남,2021,3,5,5
경남,2021,4,5,5
경남,2021,5,5,5
경남,2021,6,5,5
경남,2021,7,5,5
경남,2021,8,5,5
경남,2021,9,5,5
경남,2021,10,5,5
경남,2021,11,5,5
경북,2015,10,5,5
경북,2015,11,5,5
경북,2015,12,5,5
경북,2016,1,5,5
경북,2016,2,5,5
경북,2016,3,5,5
경북,2016,4,5,5
경북,2016,5,5,5
경북,2016,6,5,5
경북,2016,7,5,5
경북,2016,8,5,5
경북,2016,9,5,5
경북,2016,10,5,5
경북,2016,11,5,5
경북,2016,12,5,5
경북,2017,1,5,5
경북,2017,2,5,5
경북,2017,3,5,5
경북,2017,4,5,5
경북,2017,5,5,5
경북,2017,6,5,5
경북,2017,7,5,5
경북,2017,8,5,5
경북,2017,9,5,5
경북,2017,10,5,5
경북,2017,11,5,4
경북,2017,12,5,4
경북,2018,1,5,4
경북,2018,2,5,4
경북,2018,3,5,4
경북,2018,4,5,4
경북,2018,5,5,4
경북,2018,6,5,4
경북,2018,7,5,4
경북,2018,8,5,4
경북,2018,9,5,5
경북,2018,10,5,5
경북,2018,11,5,5
경북,2018,12,5,5
경북,2019,1,5,5
경북,2019,2,5,5
경북,2019,3,5,5
경북,2019,4,5,5
경북,2019,5,5,5
경북,2019,6,5,5
경북,2019,7,5,5
경북,2019,8,5,5
경북,2019,9,5,5
경북,2019,10,5,5
경북,2019,11,5,5
경북,2019,12,5,5
경북,2020,1,5,4
경북,2020,2,5,4
경북,2020,3,5,4
경북,2020,4,5,4
경북,2020,5,5,4
경북,2020,6,5,4
경북,2020,7,5,4
경북,2020,8,5,3
경북,2020,9,5,3
경북,2020,10,5,4
경북,2020,11,5,5
경북,2020,12,5,5
경북,2021,1,5,5
경북,2021,2,5,5
경북,2021,3,5,5
경북,2021,4,5,5
경북,2021,5,5,5
경북,2021,6,5,5
경북,2021,7,5,5
경북,2021,8,5,5
경북,2021,9,5,5
경북,2021,10,5,5
경북,2021,11,5,5
광주,2015,10,5,3
광주,2015,11,5,3
광주,2015,12,5,3
광주,2016,1,5,3
광주,2016,2,5,3
광주,2016,3,5,3
광주,2016,4,5,5
광주,2016,5,5,5
광주,2016,6,5,5
광주,2016,7,5,5
광주,2016,8,5,5
광주,2016,9,5,5
광주,2016,10,5,5
광주,2016,11,5,5
광주,2016,12,5,5
광주,2017,1,5,5
광주,2017,2,5,5
광주,2017,3,5,5
광주,2017,4,5,5
광주,2017,5,5,4
광주,2017,6,5,4
광주,2017,7,5,4
광주,2017,8,5,4
광주,2017,9,5,4
광주,2017,10,5,5
광주,2017,11,5,4
광주,2017,12,5,4
광주,2018,1,5,4
광주,2018,2,5,4
광주,2018,3,5,4
광주,2018,4,5,4
광주,2018,5,5,4
광주,2018,6,5,4
광주,2018,7,5,4
광주,2018,8,5,4
광주,2018,9,5,4
광주,2018,10,5,3
광주,2018,11,5,3
광주,2018,12,5,3
광주,2019,1,5,3
광주,2019,2,5,3
광주,2019,3,5,3
광주,2019,4,5,3
광주,2019,5,5,4
광주,2019,6,5,4
광주,2019,7,5,4
광주,2019,8,5,4
광주,2019,9,5,4
광주,2019,10,5,4
광주,2019,11,5,4
광주,2019,12,5,4
광주,2020,1,5,4
광주,2020,2,5,4
광주,2020,3,5,4
광주,2020,4,5,4
광주,2020,5,5,5
광주,2020,6,5,5
광주,2020,7,5,5
광주,2020,8,5,5
광주,2020,9,5,5
광주,2020,10,5,5
광주,2020,11,5,5
광주,2020,12,5,5
광주,2021,1,5,5
광주,2021,2,5,5
광주,2021,3,5,5
광주,2021,4,5,5
광주,2021,5,5,4
광주,2021,6,5,4
광주,2021,7,5,4
광주,2021,8,5,4
광주,2021,9,5,4
광주,2021,10,5,4
광주,2021,11,5,4
대구,2015,10,5,5
대구,2015,11,5,5
대구,2015,12,5,5
대구,2016,1,5,5
대구,2016,2,5,5
대구,2016,3,5,5
대구,2016,4,5,5
대구,2016,5,5,5
대구,2016,6,5,5
대구,2016,7,5,5
대구,2016,8,5,5
대구,2016,9,5,5
대구,2016,10,5,5
대구,2016,11,5,5
대구,2016,12,5,5
대구,2017,1,5,5
대구,2017,2,5,5
대구,2017,3,5,5
대구,2017,4,5,5
대구,2017,5,5,5
대구,2017,6,5,5
대구,2017,7,5,4
대구,2017,8,5,4
대구,2017,9,5,4
대구,2017,10,5,4
대구,2017,11,5,4
대구,2017,12,5,4
대구,2018,1,5,4
대구,2018,2,5,4
대구,2018,3,5,4
대구,2018,4,5,5
대구,2018,5,5,5
대구,2018,6,5,5
대구,2018,7,5,5
대구,2018,8,5,5
대구,2018,9,5,5
대구,2018,10,5,5
대구,2018,11,5,5
대구,2018,12,5,5
대구,2019,1,5,5
대구,2019,2,5,5
대구,2019,3,5,5
대구,2019,4,5,5
대구,2019,5,5,5
대구,2019,6,5,5
대구,2019,7,5,5
대구,2019,8,5,5
대구,2019,9,5,5
대구,2019,10,5,5
대구,2019,11,5,5
대구,2019,12,5,5
대구,2020,1,5,5
대구,2020,2,5,5
대구,2020,3,5,5
대구,2020,4,5,5
대구,2020,5,5,5
대구,2020,6,5,5
대구,2020,7,5,5
대구,2020,8,5,5
대구,2020,9,5,5
대구,2020,10,5,5
대구,2020,11,5,5
대구,2020,12,5,5
대구,2021,1,5,5
대구,2021,2,5,5
대구,2021,3,5,5
대구,2021,4,5,5
대구,2021,5,5,5
대구,2021,6,5,5
대구,2021,7,5,5
대구,2021,8,5,5
대구,2021,9,5,5
대구,2021,10,5,5
대구,2021,11,5,5
대전,2015,10,5,4
대전,2015,11,5,4
대전,2015,12,5,4
대전,2016,1,5,4
대전,2016,2,5,4
대전,2016,3,5,4
대전,2016,4,5,3
대전,2016,5,5,3
대전,2016,6,5,3
대전,2016,7,5,3
대전,2016,8,5,3
대전,2016,9,5,3
대전,2016,10,5,5
대전,2016,11,5,5
대전,2016,12,5,5
대전,2017,1,5,5
대전,2017,2,5,5
대전,2017,3,5,5
대전,2017,4,5,5
대전,2017,5,5,5
대전,2017,6,5,5
대전,2017,7,5,5
대전,2017,8,5,5
대전,2017,9,5,5
대전,2017,10,5,4
대전,2017,11,5,4
대전,2017,12,5,4
대전,2018,1,5,4
대전,2018,2,5,4
대전,2018,3,5,4
대전,2018,4,5,4
대전,2018,5,5,4
대전,2018,6,5,4
대전,2018,7,5,3
대전,2018,8,5,3
대전,2018,9,5,4
대전,2018,10,5,4
대전,2018,11,5,4
대전,2018,12,5,3
대전,2019,1,5,3
대전,2019,2,5,3
대전,2019,3,5,3
대전,2019,4,5,3
대전,2019,5,5,3
대전,2019,6,5,4
대전,2019,7,5,4
대전,2019,8,5,4
대전,2019,9,5,4
대전,2019,10,5,4
대전,2019,11,5,4
대전,2019,12,5,4
대전,2020,1,5,4
대전,2020,2,5,4
대전,2020,3,5,3
대전,2020,4,5,3
대전,2020,5,5,3
대전,2020,6,5,3
대전,2020,7,5,3
대전,2020,8,5,3
대전,2020,9,5,3
대전,2020,10,5,3
대전,2020,11,5,3
대전,2020,12,5,3
대전,2021,1,5,3
대전,2021,2,5,3
대전,2021,3,5,3
대전,2021,4,5,3
대전,2021,5,5,3
대전,2021,6,5,3
대전,2021,7,5,3
대전,2021,8,5,3
대전,2021,9,5,3
대전,2021,10,5,3
대전,2021,11,5,3
부산,2015,10,5,5
부산,2015,11,5,5
부산,2015,12,5,5
부산,2016,1,5,5
부산,2016,2,5,5
부산,2016,3,5,5
부산,2016,4,5,5
부산,2016,5,5,5
부산,2016,6,5,5
부산,2016,7,5,5
부산,2016,8,5,5
부산,2016,9,5,5
부산,2016,10,5,5
부산,2016,11,5,5
부산,2016,12,5,5
부산,2017,1,5,5
부산,2017,2,5,5
부산,2017,3,5,5
부산,2017,4,5,5
부산,2017,5,5,5
부산,2017,6,5,5
부산,2017,7,5,5
부산,2017,8,5,5
부산,2017,9,5,5
부산,2017,10,5,5
부산,2017,11,5,5
부산,2017,12,5,5
부산,2018,1,5,5
